21-03-03 16:35:20 MainThread        INFO    - Master started.
21-03-03 17:04:19 WaitingConnection INFO    - New slave connected : 127.0.0.1:59833.
21-03-03 17:04:29 ListeningMessage  INFO    - 127.0.0.1:59833 >>> Log started!
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
21-03-04 09:59:30 ListeningMessage  INFO    - 127.0.0.1:59833 >>> 
